Year,Agency Name,Vendor Name,Vendor Zip,Amount
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,RELIABLE MEDICAL,21208,373792.19
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ROB N NESS ADULT DAY SERVICES INC,21228,399353.78
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,ROB N NESS ADULT DAY SERVICES INC,21228,28559.07
2009,DEPARTMENT OF HUMAN RESOURCES,"AMR NEUROPSYCHOLOGICAL SERVICES, LLC",21784,40
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,"AMR NEUROPSYCHOLOGICAL SERVICES, LLC",21784,164458.75
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,KID BIZ LLC,20785,161070.11
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HOPE & JOY HEALTH AND ALLIED SERV,20707,272898.51
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,DECK PAIN MANAGEMENT LLC,21264,27760.21
2009,DEPARTMENT OF HUMAN RESOURCES,DECK PAIN MANAGEMENT LLC,21045,38.07
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,DECK PAIN MANAGEMENT LLC,21702,810
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ANGEL LOVING CARE RESIDENTIAL AGENCY,20712,451648.37
2009,DEPARTMENT OF HUMAN RESOURCES,ANGEL LOVING CARE RESIDENTIAL AGENCY,20712,12401.7
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NEUROPEDIC,18202,64564.09
2009,DEPARTMENT OF GENERAL SERVICES,ASM CLEANING SERVICES,21158,42600
2009,STATE HIGHWAY ADMIN,ASM CLEANING SERVICES,21158,820
2009,DEPARTMENT OF NATURAL RESOURCES,ASM CLEANING SERVICES,21158,5830
2009,DEPARTMENT OF HUMAN RESOURCES,"DEVINE INTERVENTIONS, INC.",21239,150750
2009,STATE HIGHWAY ADMIN,MCCORMICK TAYLOR/PB AMERICAS,21202,319620.84
2009,STATE TREASURER'S OFFICE,PAMELA ASHBY PA & JOAN M HOVATTER,20036,58660.16
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"UNIVERSITY SPECIALISTS, LLP",21275,321111.86
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HECROL INC,20910,32609.56
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,UPPER CHES CRITICAL CARE ASSOCS LLC,15024,28915.06
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,BLACKBURN HOUSING II LTD PTN,21136,764589
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,WORCESTER COUNTY'S INITIATIVE TO PRESERVE FAMILIES,21863,895790
2009,MARYLAND TRANSIT ADMINISTRATION,UNIVERSAL ROOFING,21228,195900
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,LAURA WILLIAMS/SALISBURY NHS INC,21804,44621
2009,OFFICE OF THE PUBLIC DEFENDER,RAOUF ABDULLAH,20706,37970.75
2009,OFFICE OF THE PUBLIC DEFENDER,THOMAS A APPEL,21117,44600
2009,DEPARTMENT OF DISABILITIES,NATIONAL FEDERATION OF THE BLIND,21230,1000
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,NATIONAL FEDERATION OF THE BLIND,21230,78874.75
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,RIDE-AWAY HANDICAP EQUIPMENT CORP,03053,2836.4
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,RIDE-AWAY HANDICAP EQUIPMENT CORP,03053,402862
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,WK OPPORTUNITIES UNLIMITED CONTRACTS INC,03820,228733.62
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,WK OPPORTUNITIES UNLIMITED CONTRACTS INC,03820,52174.5
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LAKEVIEW PHARMACY,03882,1526.15
2009,DEPARTMENT OF JUVENILE SERVICES,LAKEVIEW PHARMACY,03882,175927.62
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,DANIEL SULLIVAN,21740,59095.92
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PROFESSIONAL SOFTWARE FOR NURSES INC,03063,32789
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,KENDALL,31192,39220.62
2009,GOVERNOR'S OFFICE FOR CHILDREN,"NETSTAR-1, INC",20850,980.21
2009,COMMISSION ON HUMAN RELATIONS,"NETSTAR-1, INC",20850,810.36
2009,MILITARY DEPARTMENT,"NETSTAR-1, INC",20850,29540.42
2009,MD INST EMERG MEDICAL SERVICE SYSTEMS,"NETSTAR-1, INC",20850,240396.9
2009,COMPTROLLER OF MARYLAND,"NETSTAR-1, INC",20850,244956.96
2009,STATE DEPT OF ASSESSMENTS & TAXATION,"NETSTAR-1, INC",20850,13040
2009,REGISTERS OF WILLS,"NETSTAR-1, INC",20850,7423.72
2009,DEPARTMENT OF INFORMATION TECHNOLOGY,"NETSTAR-1, INC",20850,133694.96
2009,DEPARTMENT OF GENERAL SERVICES,"NETSTAR-1, INC",20850,1692.37
2009,MDOT THE SECRETARY'S OFFICE,"NETSTAR-1, INC",20850,32570
2009,DEPARTMENT OF NATURAL RESOURCES,"NETSTAR-1, INC",20850,221.4
2009,MD DEPARTMENT OF AGRICULTURE,"NETSTAR-1, INC",20850,179325.02
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"NETSTAR-1, INC",20850,16073.36
2009,"DEPARTMENT OF LABOR, LICENSING & REG.","NETSTAR-1, INC",20850,7655.41
2009,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,"NETSTAR-1, INC",20850,46347.96
2009,MARYLAND PUBLIC TELEVISION,"NETSTAR-1, INC",20850,14399.26
2009,DEPARTMENT OF THE ENVIRONMENT,"NETSTAR-1, INC",20850,1721.56
2009,DEPARTMENT OF JUVENILE SERVICES,"NETSTAR-1, INC",20850,9600
2009,MARYLAND STATE POLICE,"NETSTAR-1, INC",20850,30516.87
2009,DEPARTMENT OF GENERAL SERVICES- CAPITAL,"NETSTAR-1, INC",20850,55200
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MORNINGSIDE HOUSE OF LAUREL LLC,20177,65432.17
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,WPI ACQUISITION LLC,21237,3905890.66
2009,DEPARTMENT OF HUMAN RESOURCES,WPI ACQUISITION LLC,21237,886.47
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PARKWAY NURSING & REHAB LLC,21215,478518.36
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,PARKWAY NURSING & REHAB LLC,21215,180
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,AHS CUMBERLAND HOSPITAL LLC,75284,590126.35
2009,DEPARTMENT OF HUMAN RESOURCES,AHS CUMBERLAND HOSPITAL LLC,23124,203820.1
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,AHS CUMBERLAND HOSPITAL LLC,23124,30
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,WALNUT STREET COMM HLTH CTR,21740,406057.78
2009,DEPARTMENT OF HUMAN RESOURCES,WALNUT STREET COMM HLTH CTR,21740,4500
2009,DEPT OF HEALTH & MENTAL HYGIENE-CAPITAL,WALNUT STREET COMM HLTH CTR,21740,2000
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,KRIS-LEIGH CATERED LIVING AT,21136,48124.32
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,WILLIAM T SU MD,21742,38121.25
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,WILLIAM T SU MD,21742,285
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MED CARE LLC,20707,37909.81
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ENDOSCOPY CENTER AT ROBINWOOD LLC,21742,30995.93
2009,DEPARTMENT OF HUMAN RESOURCES,SHARON M KELSEY LLC,20774,55174.92
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,ABIDING LOVE CHILD CARE CENTER,20743,83081.66
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,JEFFREY MUENCH,20815,63997.27
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MEDPRO RX INC,27615,754149.85
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,DENTON PHARMACY,21629,418977.36
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,LORI YOUNG,21213,27822.99
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ERNEST AFRICANO M D,20901,28584.14
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PEMBERTON HOUSING LP,21801,11116.95
2009,DEPARTMENT OF HUMAN RESOURCES,PEMBERTON HOUSING LP,21801,2676.5
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,PEMBERTON HOUSING LP,21801,1055878
2009,DEPARTMENT OF HUMAN RESOURCES,RIGHT-AT-HOME,21701,124525.31
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,TERKA MANOR,21223,28846.32
2009,DEPARTMENT OF HUMAN RESOURCES,NOAHS ARK LEARNING CENTER,20639,1685
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,NOAHS ARK LEARNING CENTER,20639,39795.31
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,TIFFANY DAVIS,21213,36686
2009,BALTIMORE CITY COMMUNITY COLLEGE,JEANETTES CLEANING SERVICE,21234,61283.3
2009,DEPT OF BUSINESS & ECONOMIC DEVELOPMENT,JEANETTES CLEANING SERVICE,21234,5970
2009,MARYLAND STATE POLICE,JEANETTES CLEANING SERVICE,21234,690
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LACYS PROF NURSING SERVICES (LPNS),21237,742481.16
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CARE FIRST HOME HEALTH CARE,20718,842305.85
2009,MARYLAND INSURANCE ADMINISTRATION,MOUNT VERNON CENTRE ASSOCIATES INC,21201,818602.52
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PRESKEYDON PHARMACY,21205,412788.52
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ANCHOR INC T/A HEALTHWAY PHARMACY,21224,256063.14
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,BESTCARE RESIDENTIAL SERVICES INC,21208,432352.64
2009,STATE HIGHWAY ADMIN,VESSEL ELECTRIC LLC,21215,12061.44
2009,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,VESSEL ELECTRIC LLC,21215,29880.04
2009,STATE HIGHWAY ADMIN,CT BATTLE ENTERPRISES,20747,8388.41
2009,DEPARTMENT OF NATURAL RESOURCES,CT BATTLE ENTERPRISES,20747,24830
2009,STATE HIGHWAY ADMIN,MARYLAND BROADBAND COOPERATIVE,21801,281719.11
2009,DEPT OF BUSINESS & ECONOMIC DEVELOPMENT,MARYLAND BROADBAND COOPERATIVE,21801,4265000
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,DOROTHEA ROBINSON,20745,27773.6
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,COVENTRY HLTH CARE WORKERS COMP INC,19968,157330
2009,DEPARTMENT OF NATURAL RESOURCES,UNIVERSITY OF VERMONT,05405,35175
2009,DEPARTMENT OF HUMAN RESOURCES,BENNINGTON SCHOOL INC,05201,28291.8
2009,DEPARTMENT OF JUVENILE SERVICES,BENNINGTON SCHOOL INC,01240,434968.85
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MID ATLANTIC HUMAN SERVICES CORP,05601,3650600.86
2009,ENERGY ADMINISTRATION,VERMONT ENERGY INVESTMENT CORPORATION,05401,166530.75
2009,MARYLAND DEPT. OF AGING,SYNERGY SOFTWARE TECHNOLOGIES INC,05452,67000
2009,MARYLAND TRANSIT ADMINISTRATION,BOMBARDIER MASS TRANSIT CORP,60693,2692325.58
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,AMA/RMF JOINT VENTURE,21076,150
2009,DEPARTMENT OF GENERAL SERVICES- CAPITAL,AMA/RMF JOINT VENTURE,21076,60217.55
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LIV-N-WELL ASSISTED LIVING FACILITY,21001,53846.51
2009,DEPARTMENT OF HUMAN RESOURCES,DAYDREAMS EARLY CHILDHOOD LEARNING CTR,21801,7958.42
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,DAYDREAMS EARLY CHILDHOOD LEARNING CTR,21801,150411.95
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MBL ASSOCIATE INC,20850,1730255.55
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,NORTH AMERICAN TRADE SCHOOLS,21244,2438
2009,MARYLAND HIGHER EDUCATION COMMISSION,NORTH AMERICAN TRADE SCHOOLS,21244,32850
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HQM OF LAURELWOOD LLC,21921,296072.88
2009,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,HUNTINGTON & HOPKINS INC,21030,111420
2009,STATE HIGHWAY ADMIN,SOUTHERN IMPROVEMENT CO INC,21030,543912.22
2009,MARYLAND TRANSIT ADMINISTRATION,SOUTHERN IMPROVEMENT CO INC,21030,233911.29
2009,MARYLAND AVIATION ADMINISTRATION,SOUTHERN IMPROVEMENT CO INC,21030,2282616.24
2009,STATE HIGHWAY ADMIN,SNAKE RIVER LAND CO INC,21030,508021.6
2009,MARYLAND TRANSIT ADMINISTRATION,SNAKE RIVER LAND CO INC,21030,2290809.93
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,ZONED FOR KIDS INC,21230,237089.3
2009,MARYLAND STADIUM AUTHORITY,MCKENNON SHELTON & HENN LLP,21202,25285.78
2009,STATE TREASURER'S OFFICE,MCKENNON SHELTON & HENN LLP,21202,43791.38
2009,MDOT THE SECRETARY'S OFFICE,MCKENNON SHELTON & HENN LLP,21202,14264.37
2009,MARYLAND TRANSIT ADMINISTRATION,MCKENNON SHELTON & HENN LLP,21202,3624.98
2009,MD DEPARTMENT OF AGRICULTURE,MCKENNON SHELTON & HENN LLP,21202,16739.6
2009,DEPARTMENT OF THE ENVIRONMENT,MCKENNON SHELTON & HENN LLP,21202,19575.79
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,POSZ INC,20814,393956.95
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,A CARING HAND MEDICAL ADULT DAY CARE INC,21225,120505.61
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MID-SHORE WOMENS HEALTH LLC,21601,92909.43
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,MID-SHORE WOMENS HEALTH LLC,21601,15
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,A AND A MEDICAL SUPPLY COMPANY,21136,449026.61
2009,MARYLAND TRANSIT ADMINISTRATION,TOTALLY KUSTOM INC,17320,19640.5
2009,DEPARTMENT OF GENERAL SERVICES- CAPITAL,TOTALLY KUSTOM INC,17320,12058
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,FAMILY ADVOCACY SERVICES LLC,21228,428348
2009,DEPARTMENT OF JUVENILE SERVICES,FAMILY ADVOCACY SERVICES LLC,21228,2201364.6
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,FUTURECARE IRVINGTON LLC,21122,12718208.41
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,FUTURECARE CHARLES VILLAGE,21122,5674807.75
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,FUTURECARE CHARLES VILLAGE,21122,45
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MONTGOMERY VILLAGE HEALTH CARE CTR,20866,3206143.37
2009,MILITARY DEPARTMENT,A L INGRAM CONSTRUCTION LLC,21133,38305.95
2009,STATE HIGHWAY ADMIN,A L INGRAM CONSTRUCTION LLC,21133,39467.87
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,A L INGRAM CONSTRUCTION LLC,21133,6525
2009,"DEPARTMENT OF LABOR, LICENSING & REG.",A L INGRAM CONSTRUCTION LLC,21133,12589.12
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,STAR MEDICAL SUPPLY INC,21224,519070.81
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,7 DAY KIDDIE KARE INC.,21201,252818.37
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,TRINITY HEALTHCARE SERVICES INC,21045,2854031.4
2009,DEPARTMENT OF HUMAN RESOURCES,HARCUM MODULAR INSTALLATION INC,21207,159048.83
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,GOLDEN AGE ADULT DAYCARE OF BOWIE,20764,54358.84
2009,DEPARTMENT OF HUMAN RESOURCES,GOLDEN AGE ADULT DAYCARE OF BOWIE,20715,325
2009,DEPARTMENT OF HUMAN RESOURCES,"ARSENAULT PROPERTIES, LLC",21227,666478.6
2009,OFFICE OF THE PUBLIC DEFENDER,COONEY BERNARD J PA,20906,66100
2009,DEPARTMENT OF HUMAN RESOURCES,COONEY BERNARD J PA,20906,1275
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ALAN RICHARD SEGAL MD,20906,35828.32
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,STEPHEN A HIRSCH,21201,151272
2009,COMPTROLLER OF MARYLAND,SUSAN L ONDERCHAIN ROGERS,20853,63705.62
2009,DEPARTMENT OF GENERAL SERVICES- CAPITAL,SORENSEN CONSTRUCTION INC,21658,106743.62
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HOUGHTON MIFFLIN CO,60693,394.72
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,HOUGHTON MIFFLIN CO,60693,585866.09
2009,BALTIMORE CITY COMMUNITY COLLEGE,HOUGHTON MIFFLIN CO,60693,12531.6
2009,MARYLAND SCHOOL FOR THE DEAF,HOUGHTON MIFFLIN CO,60693,25405.15
2009,DEPARTMENT OF JUVENILE SERVICES,HOUGHTON MIFFLIN CO,60693,14902.03
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,KENDALL HEALTHCARE PRODUCTS CO,31192,33855.87
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,"SAJADI MD, M REZA",21224,86548
2009,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,NORTH ATLANTIC FISH CO INC,01930,68418.6
2009,STATE HIGHWAY ADMIN,CHANNING L BETE CO INC,02284,5035.8
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CHANNING L BETE CO INC,02284,63141.24
2009,DEPARTMENT OF HUMAN RESOURCES,CHANNING L BETE CO INC,02284,1463.82
2009,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,CHANNING L BETE CO INC,02284,69995.92
2009,BALTIMORE CITY COMMUNITY COLLEGE,CHANNING L BETE CO INC,02284,968.48
2009,COMPTROLLER OF MARYLAND,UNIFIRST CORPORATION,01877,2238.15
2009,DEPARTMENT OF GENERAL SERVICES,UNIFIRST CORPORATION,01877,602
2009,STATE HIGHWAY ADMIN,UNIFIRST CORPORATION,01887,4788.83
2009,MOTOR VEHICLE ADMINSTRATION,UNIFIRST CORPORATION,01887,3565.69
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,UNIFIRST CORPORATION,01877,7269.97
2009,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,UNIFIRST CORPORATION,01877,5250.55
2009,MARYLAND STATE POLICE,UNIFIRST CORPORATION,01877,24873.85
2009,MARYLAND PUBLIC TELEVISION,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,02139,65469.33
2009,DEPARTMENT OF GENERAL SERVICES- CAPITAL,US ARMY CORPS OF ENGINEERS,21203,118195.5
2009,DEPARTMENT OF NATURAL RESOURCES-CAPITAL,US ARMY CORPS OF ENGINEERS,21201,366739
2009,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,AMERICAN STEEL AND ALUMINUM CORPORATION,02241,116565.86
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,EDUCATORS PUBLISHING SERVICE,53268,25730.81
2009,CAPITAL PROJECTS- OFFICE OF COMPTROLLER,RAINBOW CONSTRUCTION CORP OF WALDORF,20604,102598.64
2009,DEPARTMENT OF GENERAL SERVICES- CAPITAL,RAINBOW CONSTRUCTION CORP OF WALDORF,20602,378860.21
2009,DEPARTMENT OF GENERAL SERVICES- CAPITAL,GALE ASSOCIATES INC,02189,54841.75
