,Year,Agency Name,Vendor Name,Vendor Zip,Amount
19545,2009,STATE HIGHWAY ADMIN,CT BATTLE ENTERPRISES,20747,18325618
19549,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,DOROTHEA ROBINSON,20745,2150661
19550,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,COVENTRY HLTH CARE WORKERS COMP INC,19968,455611
19551,2009,DEPARTMENT OF NATURAL RESOURCES,UNIVERSITY OF VERMONT,05405,35175
19552,2009,DEPARTMENT OF HUMAN RESOURCES,BENNINGTON SCHOOL INC,05201,28291
19553,2009,DEPARTMENT OF JUVENILE SERVICES,BENNINGTON SCHOOL INC,01240,489791
19554,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MID ATLANTIC HUMAN SERVICES CORP,05601,3650600
19555,2009,ENERGY ADMINISTRATION,VERMONT ENERGY INVESTMENT CORPORATION,05401,166530
19556,2009,MARYLAND DEPT. OF AGING,SYNERGY SOFTWARE TECHNOLOGIES INC,05452,67000
19557,2009,MARYLAND TRANSIT ADMINISTRATION,BOMBARDIER MASS TRANSIT CORP,60693,118240437
19558,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,AMA/RMF JOINT VENTURE,21076,28634597
19560,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LIV-N-WELL ASSISTED LIVING FACILITY,21001,16201162
19566,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HQM OF LAURELWOOD LLC,21921,151475681
19580,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,POSZ INC,20814,13408845
19581,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,A CARING HAND MEDICAL ADULT DAY CARE INC,21225,22194478
19582,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MID-SHORE WOMENS HEALTH LLC,21601,48265164
19585,2009,MARYLAND TRANSIT ADMINISTRATION,TOTALLY KUSTOM INC,17320,146640
19592,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MONTGOMERY VILLAGE HEALTH CARE CTR,20866,11586855
19593,2009,MILITARY DEPARTMENT,A L INGRAM CONSTRUCTION LLC,21133,18146137
19600,2009,DEPARTMENT OF HUMAN RESOURCES,HARCUM MODULAR INSTALLATION INC,21207,21427131
19601,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,GOLDEN AGE ADULT DAYCARE OF BOWIE,20764,54358
19602,2009,DEPARTMENT OF HUMAN RESOURCES,GOLDEN AGE ADULT DAYCARE OF BOWIE,20715,5206471
19603,2009,DEPARTMENT OF HUMAN RESOURCES,"ARSENAULT PROPERTIES, LLC",21227,37976315
19604,2009,OFFICE OF THE PUBLIC DEFENDER,COONEY BERNARD J PA,20906,6713298
19608,2009,COMPTROLLER OF MARYLAND,SUSAN L ONDERCHAIN ROGERS,20853,319760
19617,2009,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,NORTH ATLANTIC FISH CO INC,01930,68418
19618,2009,STATE HIGHWAY ADMIN,CHANNING L BETE CO INC,02284,5886992
19623,2009,COMPTROLLER OF MARYLAND,UNIFIRST CORPORATION,01877,40234
19625,2009,STATE HIGHWAY ADMIN,UNIFIRST CORPORATION,01887,8354
19630,2009,MARYLAND PUBLIC TELEVISION,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,02139,110087
19631,2009,DEPARTMENT OF GENERAL SERVICES- CAPITAL,US ARMY CORPS OF ENGINEERS,21203,7367949
19633,2009,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,AMERICAN STEEL AND ALUMINUM CORPORATION,02241,2177507
19634,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,EDUCATORS PUBLISHING SERVICE,53268,7573870
19635,2009,CAPITAL PROJECTS- OFFICE OF COMPTROLLER,RAINBOW CONSTRUCTION CORP OF WALDORF,20604,3078198
19636,2009,DEPARTMENT OF GENERAL SERVICES- CAPITAL,RAINBOW CONSTRUCTION CORP OF WALDORF,20602,10847248
19637,2009,DEPARTMENT OF GENERAL SERVICES- CAPITAL,GALE ASSOCIATES INC,02189,58653
19639,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,LATHAM CENTER,02631,128187
19640,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,WHATMAN INC,19175,22657267
19642,2009,MDOT THE SECRETARY'S OFFICE,CAMBRIDGE SYSTEMATICS INC,02140,3004953
19644,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,BMA WHEATON,20646,247083008
19646,2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,BOLTON NORTH APARTMENTS #38916,29601,892656
19648,2009,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,MODUFORM INC,01420,58700
19649,2009,MARYLAND PUBLIC TELEVISION,THOMSON BROADCAST & MULTIMEDIA INC,01077,158385
19651,2009,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,EMC CORPORATION,01748,187154
19652,2009,MDOT THE SECRETARY'S OFFICE,CLEAN HARBORS ENVIRONMENTAL SERVICES INC,02185,38540
19658,2009,DEPARTMENT OF THE ENVIRONMENT,THERMO ELECTRON,45271,4947003
19660,2009,DEPARTMENT OF THE ENVIRONMENT,NESCAUM,02114,124996
19668,2009,HISTORIC ST. MARY'S CITY COMMISSION,STAPLES BUSINESS ADVANTAGE,06150,728150
19671,2009,MD DEPARTMENT OF PLANNING,STAPLES BUSINESS ADVANTAGE,50368,37021
19675,2009,PROPERTY TAX ASSESSMENT APPEALS BOARDS,STAPLES BUSINESS ADVANTAGE,21046,22639741
19681,2009,MD DEPARTMENT OF AGRICULTURE,STAPLES BUSINESS ADVANTAGE,88901,23187
19685,2009,DEPT OF PUBLIC SAFETY & CORRECTIONAL SVC,STAPLES BUSINESS ADVANTAGE,60694,4861158
19692,2009,DEPARTMENT OF HUMAN RESOURCES,NORTH AMERICAN FAMILY INSTITUTE INC,01923,3902821
19695,2009,OFFICE OF PEOPLES COUNSEL,RESOURCE INSIGHT INC,02476,191624
19696,2009,MARYLAND AVIATION ADMINISTRATION,VANASSE HANGEN BRUSTLIN INC,02471,75149
19697,2009,DEPARTMENT OF HUMAN RESOURCES,WHITNEY ACADEMY INC,02717,107773
19699,2009,COMPTROLLER OF MARYLAND,CBS TELEVISION STATIONS,60673,26644912
19700,2009,MARYLAND TRANSIT ADMINISTRATION,CBS TELEVISION STATIONS,28290,7587474
19707,2009,MARYLAND PORT ADMINISTRATION,TRIUMVIRATE ENVIRONMENTAL,30384,50438189
19708,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,TRIUMVIRATE ENVIRONMENTAL,07189,1575399
19710,2009,MARYLAND INSURANCE ADMINISTRATION,IRON MOUNTAIN OSDP,10087,5025535
19715,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,IRON MOUNTAIN OSDP,89115,30
19718,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,GIANT PHARMACY #349,60674,18277407
19719,2009,MARYLAND STATE ARCHIVES,SIEMENS WATER TECH CORP,15250,45561129
19723,2009,MARYLAND INSURANCE ADMINISTRATION,"CARLIN,CHARRON & ROSEN, LLP",01581,105000
19724,2009,COMPTROLLER OF MARYLAND,GARTNER INC,75391,481598
19727,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CRITICAL CARE SYSTEMS INC,55485,615408
19728,2009,DEPARTMENT OF NATURAL RESOURCES,THE CONSENSUS BUILDING INST INC,02142,116146
19729,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HARBORSIDE HEALTHCARE LARKIN CHASE,20716,5730545
19731,2009,STATE HIGHWAY ADMIN,EASTERN SALT CO INC,01852,982922
19732,2009,MDOT THE SECRETARY'S OFFICE,CBS RADIO,21209,18695469
19733,2009,MARYLAND PORT ADMINISTRATION,CBS RADIO,07188,4304284
19739,2009,MD DEPARTMENT OF AGRICULTURE,WATERS CORPORATION,01757,424871
19742,2009,STATE HIGHWAY ADMIN,WORKPLACE ESSENTIALS INC,01801,35255
19745,2009,ENERGY ADMINISTRATION,"DIRECT MEDIA, INC.",02184,157171
19746,2009,MARYLAND TRANSIT ADMINISTRATION,"DIRECT MEDIA, INC.",02043,216659
19758,2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CAINE MITTER & ASSOCIATES INC,01060,369454
19759,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PUBLIC PARTNERSHIPS LLC,02109,9727661
19761,2009,"DEPARTMENT OF LABOR, LICENSING & REG.",CBMI PIERS,07102,18730
19764,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NORESCO LLC,15251,3941291
19766,2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,NEW SPELLMAN HOUSE ASSOCIATES LLC,19809,2168605
19769,2009,MARYLAND DEPT. OF VETERANS AFFAIRS,ALL-PRO PLACEMENT SERVICE INC,21093,82709231
19773,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LAWSON MEDICAL LLC,23454,1023824
19776,2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,CPI PROPERTIES,21802,196539184
19777,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PRADER-WILLI HOMES OF OCONOMOWOC,53006,80694
19781,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HOME INC,20877,50505819
19786,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,JOHN WHITTAKER MD,21851,4701240
19795,2009,STATE HIGHWAY ADMIN,AMERICAN BRIDGE CO/EDWARD KRAEMER & SONS JV,22314,11941070
19797,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PROVIDENCE IN-HOME CARE,22306,1884536
19806,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ALLEGANY HEARING & BALANCE LLC,21502,181432873
19809,2009,COMPTROLLER OF MARYLAND,CACI ENTERPRISE SOLUTIONS INC,22033,1428687
19811,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,JOYFUL WISDOM LLC,20783,3003330
19812,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,THE LOCAL MGMT BD OF ALLEGANY CO INC,21503,539875
19823,2009,COMPTROLLER OF MARYLAND,COMMONWEALTH OF MASSACHUSETTS,01608,60385
19824,2009,DEPARTMENT OF HUMAN RESOURCES,UNIV OF MASS MEDICAL SCHOOL,01655,78829
19825,2009,MARYLAND PUBLIC TELEVISION,AMERICAN PUBLIC TELEVISION,01815,127823
19826,2009,BOARD OF PUBLIC WORKS,QWEST COMMUNICATIONS INC,40285,12932603
19850,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MAVIS PAYNE,20603,775804
19851,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,JOHN CASEY  MD,20852,53691858
19852,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CVS PHARMACY #6041,60690,44467985
19853,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,EDUCATION ALLIANCE BROWN UNIVERSITY,02903,483934
19856,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,EVAS,02891,311703
19858,2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,BAY RIDGE GARDENS,21403,18249696
19860,2009,MARYLAND STADIUM AUTHORITY,GILBANE BUILDING COMPANY,02860,70604333
19867,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PROCARE PHARMACY DIRECT INC,15235,486688
19871,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,FOUNDATIONS MEDICAL ADULT DAY CARE,21090,498174573
19873,2009,DEPARTMENT OF HUMAN RESOURCES,S & N REALTY LLC,01982,760426
19875,2009,DEPARTMENT OF HUMAN RESOURCES,IMAGINATIONS DAYCARE,20637,21858679
19878,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,SON-GRACE INC T/A BLESSED HOPE HOME,21284,1654842
19882,2009,STATE HIGHWAY ADMIN,HRV CONFORMANCE VERIF ASSOC,15205,381809
19884,2009,MDOT THE SECRETARY'S OFFICE,KAPLAN KIRSCH & ROCKWELL LLP,80202,17402994
19887,2009,MARYLAND PORT ADMINISTRATION,"ELK TRANSPORTATION, INC/HAINES & KIBBLEH",19601,293891
19890,2009,STATE HIGHWAY ADMIN,O'CONNELL & LAWRENCE INC/DMJM & HARRIS,20832,5403491
19895,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MULVEYS PRESTON PHARMACY,21655,633017
19896,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,BAHRAM PISHDAD MD,22181,38541
19897,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,CHANTEE GREENE,21222,74812008
19900,2009,STATE HIGHWAY ADMIN,LANE CONSTRUCTION CORPORATION,06450,24149035
19909,2009,SECRETARY OF THE STATE,PITNEY BOWES INC,63195,411616
19938,2009,DEPARTMENT OF THE ENVIRONMENT,PITNEY BOWES INC,19170,21854745
19942,2009,UNINSURED EMPLOYERS FUND,HASLER INC.,06460,1593346
19944,2009,SECRETARY OF THE STATE,HASLER INC.,06484,45411
19947,2009,DEPARTMENT OF GENERAL SERVICES,HASLER INC.,19720,766477
19955,2009,MARYLAND SCHOOL FOR THE DEAF,HASLER INC.,94145,430780
19957,2009,DEPARTMENT OF JUVENILE SERVICES,HASLER INC.,33631,74557
19958,2009,DEPARTMENT OF GENERAL SERVICES- CAPITAL,KBE BUILDING CORPORATION,06034,302993
19963,2009,MOTOR VEHICLE ADMINSTRATION,ENVIRONMENTAL SYTEMS PRODUCTS,06026,1116729
19980,2009,OFFICE OF THE PUBLIC DEFENDER,OCE NORTH AMERICA,60656,732935
19995,2009,DEPARTMENT OF HUMAN RESOURCES,KINDERCARE - WESTVIEW,21703,36291949
19997,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"DIANON SYSTEMS, INC.",27216,4332597
19998,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,GENESIS ELDERCARE PHYSICIAN SERVICES,19348,428635
19999,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,TABB TEXTILE CO INC,30353,964700
20005,2009,MARYLAND PORT ADMINISTRATION,ALIMAK HEK INC,75312,10824997
20006,2009,MARYLAND AVIATION ADMINISTRATION,CONTROL SYSTEMS INC,06110,257077
20008,2009,MORGAN STATE UNIVERSITY-CAPITAL PROJECT,KLA TENCOR,94160,7827067
20009,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,BENEVOLENT HOME HEALTH CARE,21060,597442212
20013,2009,DEPARTMENT OF HUMAN RESOURCES,CAREER TEAM LLC,06518,119884
20015,2009,COMPTROLLER OF MARYLAND,AIRGAS EAST,19182,16433774
20026,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PROCARE PHARMACY 2917,60696,11612583
20035,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ALADDIN TEMP-RITE LLC,37075,319561
20038,2009,MARYLAND INSURANCE ADMINISTRATION,STATE OF MARYLAND SPDAP % POOL ADMINISTRATORS INC,06109,7684556
20039,2009,MD DEPARTMENT OF AGRICULTURE,APPLIED BIOSYSTEMS,60695,1404414
20043,2009,MARYLAND STATE RETIREMENT AGENCY,RISKMETRICS GROUP,60055,1971213
20045,2009,MDOT THE SECRETARY'S OFFICE,SHARP ELECTRONICS CORP,15264,27261201
20090,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,BUNDLES OF JOY FDC INC,21217,36011114
20091,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,LOVE 2 LEARN CHRISTIAN LEARNING CENTER,20710,2156094
20106,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,FUTURE SCHOLARS LEARNING & ARTS CTR INC,20772,164000452
20108,2009,DEPARTMENT OF HUMAN RESOURCES,"ONE-CCK, LLC",22003,339225
20114,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,UPPER CHES SURG ASSOC,21078,29573421
20117,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HOME-SWEET HOME DD INC,21146,780074
20124,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,SIDNEY BINKS III,20008,38112
20127,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,SYED A SADIQ MD,20708,17608895
20128,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LINDA GRIER,21206,32172695
20136,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,AT HOME ASSISTED LIV FACILITY,20601,11278331
20137,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,LAKISHA TROTTIE-WEBB,21040,6426010
20139,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,JAMES R SWANBECK JR MD,21009,26750994
20140,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,RAJ K CHAWLA MD,21037,6008251
20142,2009,MARYLAND PUBLIC TELEVISION,MICHAEL MONTELLA,12472,26770
20143,2009,DEPARTMENT OF HUMAN RESOURCES,PURCELL BAILEY JR,21794,489048
20146,2009,MARYLAND PUBLIC TELEVISION,LUDWIG DAVIDSBURG,21108,102213108
20148,2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,L PETER PATRICK PROPERTY,21811,8034961
20149,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,MARK L PARIS PH D,22039,31834
20153,2009,OFFICE OF THE PUBLIC DEFENDER,"MICHAEL J. O'CONNELL, PH.D.",21042,277390634
